trial,epsilon_m,eps_total_idx,eps_total,T,hv_NSGAII,hv_MOMA,hv_AMOMA,f1_min,f1_max,f2_min,f2_max,f3_min,f3_max
16,0.4793452844894778,6,2.88,6,0.7066700996389811,0.8249300488856454,0.8763508305378725,0.3517123622762531,0.3793894243517695,0.0035381718971583,0.043673447487862,2.8760717069368664,2.880000000000001
16,0.4793452844894778,7,3.36,7,0.69015158776924,0.8267798503153619,0.8279281823715817,0.3512494571722929,0.361626809517676,0.0046283970333523,0.1008492421491568,3.355416991426344,3.3600000000000008
16,0.4793452844894778,8,3.84,7,0.3536343293499058,0.826329131896884,0.8633338690453675,0.3507979250394732,0.3615319111030662,0.0019996472846855,0.6837351192159639,3.355416991426344,3.84
16,0.4793452844894778,9,4.32,7,0.20037846380124852,0.6611913485466149,0.7388638917874456,0.3505490673691769,0.3608590188853495,0.000941544561409,0.0341407464781224,3.3761503132874124,4.320000000000001
16,0.4793452844894778,10,4.8,7,0.21144457481687184,0.5876087974973063,0.8997337334765806,0.3505235153122114,0.3614810051581644,0.0005038339201702,0.6887543470250358,3.355416991426344,4.8
17,0.4793452844894778,3,1.44,3,0.6621983361090333,0.6954669108739249,0.986586088198029,0.3515212537929046,0.3580058681669236,0.0030637497989269,0.5140212864560888,1.4380358534684334,1.44
17,0.4793452844894778,4,1.92,4,0.9215876909969533,0.958909706323301,0.9744691591944198,0.3513979617554635,0.4848618374081753,0.0048296407149394,0.1327929969199993,1.917381137957911,1.92
17,0.4793452844894778,5,2.4,5,0.6340051392692212,0.7061827885811522,0.7545972756081728,0.3514838933098166,0.3575977902343286,0.0043455799812372,0.0485175870290153,2.3967264224473888,2.4000000000000004
17,0.4793452844894778,6,2.88,6,0.6665344098762946,0.7460817082868133,0.9217296568841413,0.3517312571572434,0.3619874883616797,0.0035377290325406,0.043673447487862,2.8760717069368664,2.880000000000001
17,0.4793452844894778,7,3.36,7,0.8017645307745049,0.8709635065704375,0.9285509953136024,0.3512491973070044,0.3683569734165728,0.0047323280103303,0.1008492421491568,3.355416991426344,3.3600000000000003
17,0.4793452844894778,8,3.84,7,0.3684491232182652,0.8226138813744025,0.9459972681719585,0.3507979241172342,0.3683569697866974,0.0019752279325359,0.5999891532673436,3.355416991426344,3.8400000000000007
17,0.4793452844894778,9,4.32,7,0.2006033618623732,0.6949139643554308,0.8721112192329414,0.3505669137995726,0.359445051577657,0.0006499474157047,0.66720189115711,3.355416991426344,4.32
17,0.4793452844894778,10,4.8,7,0.1693536609426098,0.6279923262878454,0.9319709637784175,0.3505492078435217,0.3683569697866974,0.0003450797779749,0.6872481047137541,3.363281805415122,4.8
18,0.4793452844894778,3,1.44,3,0.6721913510676065,0.695884499311342,0.9645184056004085,0.351521253838641,0.3580058685046167,0.0030637499234765,0.5185877890970353,1.4380358534684334,1.44
